news_headline,news_article,news_category,full_text,clean_text
"Wistron to make Apple devices in India in ₹5,000-crore plan","IT Minister Ravi Shankar Prasad in an interview said the government has approved Taiwanese manufacturer Wistron's ₹5,091-crore plan to make Apple devices in India. ""Wistron will make latest iPhone models,"" Prasad said. Further, adding that the government isn't bothered by China offering more incentives to manufacturers he said, ""Openness of India’s democratic polity...adds its own incentive"". ",technology,"Wistron to make Apple devices in India in ₹5,000-crore plan. IT Minister Ravi Shankar Prasad in an interview said the government has approved Taiwanese manufacturer Wistron's ₹5,091-crore plan to make Apple devices in India. ""Wistron will make latest iPhone models,"" Prasad said. Further, adding that the government isn't bothered by China offering more incentives to manufacturers he said, ""Openness of India’s democratic polity...adds its own incentive"". ",wistron make apple device india crore plan minister ravi shankar prasad interview say government approve taiwanese manufacturer wistron crore plan make apple device india wistron make late iphone model prasad say add government not bother china offer incentive manufacturer say openness indias democratic polity add incentive
I called Apple CEO 'Tim Apple' to save time and words: Trump,"US President Donald Trump on Monday defended himself for mistakenly referring to Apple CEO Tim Cook as Tim Apple at a conference in the White House. ""I quickly referred to Tim + Apple as Tim/Apple...to save time and words,"" he tweeted. Apple CEO Tim Cook changed his last name on Twitter to the Apple logo after Trump's error last week.",technology,"I called Apple CEO 'Tim Apple' to save time and words: Trump. US President Donald Trump on Monday defended himself for mistakenly referring to Apple CEO Tim Cook as Tim Apple at a conference in the White House. ""I quickly referred to Tim + Apple as Tim/Apple...to save time and words,"" he tweeted. Apple CEO Tim Cook changed his last name on Twitter to the Apple logo after Trump's error last week.",call apple ceo tim apple save time word trump us president donald trump monday defend mistakenly refer apple ceo tim cook tim apple conference white house quickly refer tim apple tim apple save time word tweet apple ceo tim cook change last name twitter apple logo trump error last week
Challenging location: Google on flood forecasting project in Patna,"Sella Nevo, the engineer leading Google's Flood Forecasting Initiative in Patna, said Google chose Patna for the project as it has an incredibly interesting and challenging location. ""There are a lot of things like embankments and other man-made structures that we need to be able to deal with,"" said Nevo. Google is using machine learning to improve flood forecasting systems.",technology,"Challenging location: Google on flood forecasting project in Patna. Sella Nevo, the engineer leading Google's Flood Forecasting Initiative in Patna, said Google chose Patna for the project as it has an incredibly interesting and challenging location. ""There are a lot of things like embankments and other man-made structures that we need to be able to deal with,"" said Nevo. Google is using machine learning to improve flood forecasting systems.",challenge location google flood forecasting project patna sella nevo engineer leading google flood forecasting initiative patna say google choose patna project incredibly interesting challenging location lot thing like embankment man make structure need able deal say nevo google use machine learn improve flood forecasting system
"Huawei won't be a silent lamb to US slaughter, says China","China Foreign Minister Wang Yi has said Beijing will ""take all necessary measures"" to defend its enterprises and that Huawei won't be a ""silent lamb to the slaughter"". This came over the lawsuit filed by Huawei against the US, alleging government ban on its products was 'unconstitutional'. The US had alleged the Chinese government could use Huawei equipment for espionage.",technology,"Huawei won't be a silent lamb to US slaughter, says China. China Foreign Minister Wang Yi has said Beijing will ""take all necessary measures"" to defend its enterprises and that Huawei won't be a ""silent lamb to the slaughter"". This came over the lawsuit filed by Huawei against the US, alleging government ban on its products was 'unconstitutional'. The US had alleged the Chinese government could use Huawei equipment for espionage.",huawei not silent lamb us slaughter say china china foreign minister wang yi say beijing take necessary measure defend enterprise huawei not silent lamb slaughter come lawsuit file huawei us allege government ban product unconstitutional us allege chinese government could use huawei equipment espionage
Doctor uses robot to tell patient in ICU that he is dying in US,"Ernest Quintana, a 78-year-old patient admitted to a US hospital was informed of his likely death on a video call by a doctor through a robot sent to the ICU. The news of death should be delivered by a human, Quintana's daughter said. The hospital defended its move by saying the video call was a follow-up to earlier physician visits.",technology,"Doctor uses robot to tell patient in ICU that he is dying in US. Ernest Quintana, a 78-year-old patient admitted to a US hospital was informed of his likely death on a video call by a doctor through a robot sent to the ICU. The news of death should be delivered by a human, Quintana's daughter said. The hospital defended its move by saying the video call was a follow-up to earlier physician visits.",doctor use robot tell patient icu die us ernest quintana year old patient admit us hospital inform likely death video call doctor robot send icu news death deliver human quintanas daughter say hospital defend move say video call follow early physician visit
Nearly 44% of votes in Estonia's election were cast online,"Nearly 44% of the votes in Estonia's 2019 parliamentary elections were cast online using the internet voting (i-voting) system. The system, introduced in Estonia in 2005, recorded over 2 lakh of over 5 lakh total votes this year. It lets users cast a vote through their internet-connected computers by using ID-card or Mobile-ID, while retaining their anonymity.",technology,"Nearly 44% of votes in Estonia's election were cast online. Nearly 44% of the votes in Estonia's 2019 parliamentary elections were cast online using the internet voting (i-voting) system. The system, introduced in Estonia in 2005, recorded over 2 lakh of over 5 lakh total votes this year. It lets users cast a vote through their internet-connected computers by using ID-card or Mobile-ID, while retaining their anonymity.",nearly vote estonia election cast online nearly vote estonia parliamentary election cast online use internet voting voting system system introduce estonia record lakh lakh total vote year let user cast vote internet connect computer use id card mobile id retain anonymity
Google CEO Sundar Pichai reaches Mumbai to celebrate Women's Day,"US technology giant Google's India-born CEO Sundar Pichai reached Mumbai to celebrate International Women's Day 2019 on Friday. ""Happy to celebrate #IWD2019 with the India chapter of Women@Google at their 'I Am Remarkable' event,"" Pichai tweeted. ""Thank you for inspiring me with your stories about the experiences, challenges and triumphs of being women in tech,"" the 46-year-old added.",technology,"Google CEO Sundar Pichai reaches Mumbai to celebrate Women's Day. US technology giant Google's India-born CEO Sundar Pichai reached Mumbai to celebrate International Women's Day 2019 on Friday. ""Happy to celebrate #IWD2019 with the India chapter of Women@Google at their 'I Am Remarkable' event,"" Pichai tweeted. ""Thank you for inspiring me with your stories about the experiences, challenges and triumphs of being women in tech,"" the 46-year-old added.",google ceo sundar pichai reach mumbai celebrate women day us technology giant google india bear ceo sundar pichai reach mumbai celebrate international women day friday happy celebrate iwd india chapter womengoogle remarkable event pichai tweet thank inspire story experience challenge triumph woman tech year old add
EC announces guidelines for social media use during LS polls,Chief Election Commissioner (CEC) Sunil Arora on Sunday announced the guidelines for social media use ahead of the 2019 Lok Sabha elections. He said candidates will be required to furnish the details of their social media accounts. He added all political advertisements on social media will require pre-certification and their expenditure needs to be included in the election expenditure account.,technology,EC announces guidelines for social media use during LS polls. Chief Election Commissioner (CEC) Sunil Arora on Sunday announced the guidelines for social media use ahead of the 2019 Lok Sabha elections. He said candidates will be required to furnish the details of their social media accounts. He added all political advertisements on social media will require pre-certification and their expenditure needs to be included in the election expenditure account.,ec announce guideline social medium use ls poll chief election commissioner cec sunil arora sunday announce guideline social medium use ahead lok sabha election say candidate require furnish detail social media account add political advertisement social medium require pre certification expenditure need include election expenditure account
Facebook plans 'war room' in Delhi to monitor Lok Sabha polls,"Shivnath Thukral, Facebook's Public Policy Director, India and South Asia, has said the platform plans to start a Delhi operations centre to monitor content ahead of the 2019 Lok Sabha elections. It'll be modelled on California's 'war room' started last year to monitor interference for Brazil and US elections. It'll coordinate with Facebook's California, Dublin and Singapore offices, Thukral said.",technology,"Facebook plans 'war room' in Delhi to monitor Lok Sabha polls. Shivnath Thukral, Facebook's Public Policy Director, India and South Asia, has said the platform plans to start a Delhi operations centre to monitor content ahead of the 2019 Lok Sabha elections. It'll be modelled on California's 'war room' started last year to monitor interference for Brazil and US elections. It'll coordinate with Facebook's California, Dublin and Singapore offices, Thukral said.",facebook plan war room delhi monitor lok sabha poll shivnath thukral facebook public policy director india south asia say platform plan start delhi operation centre monitor content ahead lok sabha election model california war room start last year monitor interference brazil us election coordinate facebook california dublin singapore office thukral say
Qualcomm seeks $31mn from Apple at $1.4 per iPhone over patent row,"US-based chipmaker Qualcomm said it's seeking $31 million in damages from Apple in the US for violating its intellectual property, based on $1.40 per allegedly infringed iPhone. The damages are for iPhones sold from July 2017, containing chips used by Intel. Apple had also sued Qualcomm for overcharging for patents, arguing Apple paid at least five times more per iPhone.",technology,"Qualcomm seeks $31mn from Apple at $1.4 per iPhone over patent row. US-based chipmaker Qualcomm said it's seeking $31 million in damages from Apple in the US for violating its intellectual property, based on $1.40 per allegedly infringed iPhone. The damages are for iPhones sold from July 2017, containing chips used by Intel. Apple had also sued Qualcomm for overcharging for patents, arguing Apple paid at least five times more per iPhone.",qualcomm seek mn apple per iphone patent row us base chipmaker qualcomm say seek million damage apple us violate intellectual property base per allegedly infringe iphone damage iphone sell july contain chip use intel apple also sue qualcomm overcharge patent argue apple pay least five time per iphone
